"dwaid","dwatitle","adoption_rate","number_observations","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I07.D07","Assist skilled construction or extraction personnel.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I09.D05","Assist students with special educational needs.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I28.D01","Attach decorative or functional accessories to products.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I46.D09","Attach equipment extensions or accessories.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.1.I01.D06","Attach identification information to products, items or containers.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D09","Attend conferences or workshops to maintain professional knowledge.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.3.I01.D19","Attend educational events to update medical knowledge.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I01.D01","Audition for roles.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.2.I01.D01","Audition or interview potential performers or staff members.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I03.D01","Authorize construction activities.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I03.D02","Authorize financial actions.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I35.D04","Braze metal parts or components.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I01.D09","Build agricultural structures.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I36.D03","Build production molds.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I07.D01","Calculate data to inform organizational operations.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I04.D03","Calculate geographic positions from survey data.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I06.D05","Calculate numerical data for medical activities.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I01.D05","Calculate shipping costs.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I03.D03","Calculate tax information.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I01.D08","Calculate weights, volumes or other characteristics of materials.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D06","Calibrate equipment to specifications.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D04","Calibrate scientific or technical equipment.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I44.D02","Capture or kill animals.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I12.D01","Care for patients with mental illnesses.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I04.D01","Care for plants or animals.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I03.D04","Care for women during pregnancy and childbirth.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I09.D01","Check physical condition of people or animals.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I01.D11","Check quality of diagnostic images.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I04.D12","Choose optimal transportation routes or speeds.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I25.D03","Choreograph dances.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I01.D01","Classify materials according to standard systems.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I16.D05","Classify organisms based on their characteristics or behavior.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D16","Clean equipment, parts, or tools to repair or maintain them in good working order.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D06","Clean facilities or equipment.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I09.D03","Clean medical equipment or facilities.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I08.D06","Clean objects.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D20","Clean surfaces in preparation for work activities.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I08.D05","Clean workpieces or finished products.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.4.I02.D09","Clear equipment jams.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I14.D02","Climb equipment or structures to access work areas.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I14.D01","Climb ladders or vehicles to perform duties.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I06.D08","Code data or other information.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I02.D01","Collaborate on research activities with scientists or technical specialists.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I07.D01","Collaborate with other professionals to develop education or assistance programs.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I06.D01","Collaborate with others in marketing activities.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I09.D01","Collaborate with others to determine production details.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I06.D02","Collaborate with others to develop or implement marketing strategies.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I04.D08","Collect archival data.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I38.D02","Collect biological specimens.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I06.D04","Collect data about project sites.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I38.D05","Collect environmental data or samples.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I03.D01","Collect evidence for legal proceedings.","","17","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I19.D02","Collect information about community health needs.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I12.D03","Collect information from people through observation, interviews, or surveys.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I04.D04","Collect payments for good or services.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I02.D03","Collect samples of materials or products for testing.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I02.D02","Collect samples of raw materials or finished products.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I02.D01","Communicate health and wellness information to the public.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I05.D06","Communicate patient status to other health practitioners.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I09.D09","Communicate project information to others.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I01.D03","Communicate results of environmental research.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D21","Communicate safety or hazard information to others.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I08.D01","Communicate situation details to appropriate personnel.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I11.D02","Communicate technical information to suppliers, contractors, or regulatory agencies.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I05.D04","Communicate test or assessment results to medical professionals.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I02.D06","Communicate with clients about products, procedures, and policies.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I11.D01","Communicate with government agencies.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I04.D04","Communicate with management or other staff to resolve problems.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D08","Communicate with other construction or extraction personnel to discuss project details.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D01","Communicate with other workers to coordinate activities.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D16","Communicate with others to coordinate material handling or movement.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I01.D01","Communicate with the public on environmental issues.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I07.D08","Compact materials to create level bases.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I10.D01","Compare physical characteristics of materials or products to specifications or standards.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I03.D05","Compile environmental or climatological data.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I03.D06","Compile geographic or related data.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I03.D02","Compile technical information or documentation.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I03.D04","Compute debt repayment schedules.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I03.D02","Compute gaming wins and losses.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I02.D02","Conduct amusement or gaming activities.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I01.D05","Conduct diagnostic tests to determine patient health.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.2.I01.D02","Conduct eligibility or selection interviews.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.1.I03.D13","Conduct gaming transactions.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.3.I06.D06","Conduct health or safety training programs.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I03.D06","Conduct hearings to investigate legal issues.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I18.D02","Conduct historical research.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I18.D03","Conduct research on social issues.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I20.D04","Conduct research to gain information about products or processes.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I19.D01","Conduct research to increase knowledge about medical issues.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I09.D03","Conduct scientific research of organizational behavior or processes.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I09.D01","Conduct surveys in organizations.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I07.D09","Conduct validation tests of equipment or processes.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I05.D03","Confer with clients to discuss treatment plans or progress.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I13.D02","Confer with clients to exchange information.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I13.D05","Confer with customers or designers to determine order specifications.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D13","Confer with managers to make operational decisions.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I05.D02","Confer with other professionals to plan patient care.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I11.D08","Confer with others about financial matters.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I03.D18","Confer with others to conduct or arrange operational activities.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I11.D09","Confiscate prohibited or dangerous items.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I34.D07","Connect electrical components or equipment.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I34.D03","Connect hoses to equipment or piping.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I34.D08","Connect supply lines to production equipment or tools.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I01.D16","Construct exhibits or parts of exhibits.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I02.D04","Contract real estate to clients.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I09.D16","Control power supply connections.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I06.D02","Control prescription refills or authorizations.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I02.D03","Control pumps or pumping equipment.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I06.D11","Convert data among multiple digital or analog formats.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D19","Coordinate activities of production personnel.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I11.D07","Coordinate activities with suppliers, contractors, clients, or other departments.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I03.D04","Coordinate athletic or sporting events or activities.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I10.D06","Coordinate construction or installation activities.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I06.D11","Coordinate cross-disciplinary research programs.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I06.D03","Coordinate design activities.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I08.D02","Coordinate flight control or management activities.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I04.D01","Coordinate forestry or agricultural activities.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D09","Coordinate logistics or other business operations.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D34","Coordinate reporting or editing activities.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I14.D02","Coordinate safety or regulatory compliance activities.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D16","Coordinate shipping activities with external parties.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I11.D03","Coordinate special events or programs.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I11.D02","Coordinate student extracurricular activities.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I07.D01","Coordinate training activities.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I11.D04","Coordinate with external parties to exchange information.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.6.I10.D06","Counsel clients on mental health or personal achievement.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I06.D04","Count finished products or workpieces.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I05.D02","Count prison inmates or personnel.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.3.I04.D02","Create advanced digital images of patients using computer imaging systems.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D05","Create electrical schematics.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D03","Create graphical representations of civil structures.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D21","Create graphical representations of industrial production systems.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D18","Create graphical representations of mechanical equipment.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D16","Create graphical representations of structures or landscapes.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D19","Create maps.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I21.D01","Create models of engineering designs or methods.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I21.D03","Create physical models or prototypes.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I12.D03","Create technology-based learning materials.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I17.D07","Cultivate land.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I47.D01","Cultivate micro-organisms for study, testing, or medical preparations.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I12.D11","Cut carpet, vinyl or other flexible materials.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I12.D08","Cut fabrics.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I12.D04","Cut industrial materials in preparation for fabrication or processing.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I12.D03","Cut materials according to specifications or needs.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I03.D10","Cut meat products.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I12.D06","Cut metal components for installation.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I12.D01","Cut openings in existing structures.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I12.D05","Cut tile, stone, or other masonry materials.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I14.D01","Cut trees or logs.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I03.D17","Decontaminate equipment or sites to remove hazardous or toxic substances.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I14.D06","Design control systems for mechanical or other equipment.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I24.D02","Design electrical equipment or systems.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I24.D01","Design electromechanical equipment or systems.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I24.D03","Design electronic or computer equipment or instrumentation.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I14.D03","Design industrial equipment.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I14.D01","Design industrial processing systems.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I13.D04","Design medical devices or appliances.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I15.D02","Design psychological or educational treatment procedures or programs.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I23.D04","Design research studies to obtain scientific information.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I11.D04","Design structures or facilities.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I13.D01","Design templates or patterns.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I04.D02","Determine appropriate locations for operations or installations.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I04.D10","Determine appropriate methods for data analysis.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I04.D08","Determine construction project layouts.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I07.D01","Determine design criteria or specifications.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I04.D06","Determine food production methods.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I04.D07","Determine forestry techniques or methods.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I04.D03","Determine operational methods.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I04.D04","Determine operational procedures.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I04.D11","Determine protocols for medical procedures.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I01.D02","Determine the value of goods or services.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I08.D11","Determine types of equipment, tools, or materials needed for jobs.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I03.D18","Develop agricultural methods.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I23.D02","Develop biological research methods.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I03.D01","Develop business or market strategies.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I03.D10","Develop data analysis or data management procedures.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I06.D01","Develop database parameters or specifications.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.6.I02.D08","Develop detailed project plans.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I18.D13","Develop diagrams or flow charts of system operation.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I15.D09","Develop educational or training programs.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I15.D11","Develop educational policies.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I19.D01","Develop emergency procedures.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I08.D03","Develop environmental sustainability plans or projects.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I14.D02","Develop equipment or component configurations.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I01.D03","Develop exercise or conditioning programs.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I09.D02","Develop financial or business plans.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I09.D01","Develop financial plans for clients.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I06.D03","Develop library or archival databases.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I23.D03","Develop methods of social or economic research.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I21.D02","Develop models of information or communications systems.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I03.D12","Develop new or advanced products or production methods.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I01.D04","Develop organizational methods or procedures.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I01.D04","Develop patient therapy programs.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I03.D01","Develop procedures for data management.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I03.D13","Develop procedures to evaluate organizational activities.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I12.D01","Develop promotional materials.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I03.D04","Develop promotional strategies for religious organizations.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I07.D01","Develop proposals for current or prospective customers.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I26.D03","Develop scientific or mathematical models.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I02.D01","Develop software or computer applications.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I03.D14","Develop technical methods or processes.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I03.D15","Develop testing routines or procedures.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I26.D01","Develop theories or models of physical phenomena.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I10.D02","Develop tools to diagnose or assess needs.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I01.D06","Develop treatment plans that use non-medical therapies.","","17","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.4.I01.D03","Develop working relationships with others to facilitate program activities.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I06.D01","Diagnose dental conditions.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I02.D03","Diagnose equipment malfunctions.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I06.D03","Diagnose neural or psychological disorders.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I04.D03","Direct activities of agricultural, forestry, or fishery employees.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I01.D06","Direct activities of subordinates.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I10.D03","Direct construction activities.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I16.D04","Direct courtroom activities or procedures.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I16.D01","Direct criminal investigations.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D33","Direct department activities.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I06.D10","Direct design or development activities.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I15.D01","Direct emergency management activities.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I07.D03","Direct employee training programs.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D04","Direct equipment maintenance or repair activities.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I15.D03","Direct fire fighting or prevention activities.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I09.D03","Direct fundraising or financing activities.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D06","Direct funeral or mortuary activities.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D23","Direct healthcare delivery programs.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D24","Direct industrial production activities.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I10.D04","Direct installation activities.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I16.D02","Direct law enforcement activities.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D31","Direct material handling or moving activities.","","15","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I06.D09","Direct medical science or healthcare programs.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D14","Direct operations of correctional facilities.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I12.D30","Direct passenger or freight transport activities.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I08.D01","Direct quality control activities.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I06.D05","Direct scientific activities.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I06.D01","Direct surveying activities.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.4.I06.D02","Direct technical activities or operations.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I19.D03","Disassemble equipment to inspect for deficiencies.","","17","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I09.D02","Discuss production content and progress with others.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.2.I13.D01","Discuss service options or needs with clients.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I19.D05","Dismantle equipment or temporary structures.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I19.D07","Dismantle heavy equipment or machinery.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I32.D03","Display student work.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.6.I03.D09","Distribute promotional literature or samples to customers.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I03.D05","Distribute resources to patrons or employees.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.c.3.I03.D08","Distribute supplies to workers.","","2","","","","","","","","","","","","","","","","","","","","","",""
